ticker,predicted_return,weight
TTD,0.005739511,0.025
CVNA,0.005108453,0.025
CHTR,0.003441396,0.025
INTC,0.003268465,0.025
SMCI,0.0032664982,0.025
AXON,0.0031590404,0.025
COHR,0.0031385894,0.025
DDOG,0.0031234904,0.025
COIN,0.0029112254,0.025
AKAM,0.0027828647,0.025
HOOD,0.002749558,0.025
CIEN,0.0026617253,0.025
NCLH,0.0024336553,0.025
ALB,0.0023581635,0.025
MRNA,0.0023325859,0.025
EPAM,0.0022828877,0.025
CNC,0.0022003641,0.025
DELL,0.0021841107,0.025
AMD,0.0021810145,0.025
GLW,0.002136455,0.025
TECH,0.002102054,0.025
FICO,0.001976165,0.025
NOW,0.0019649009,0.025
PSKY,0.0019042554,0.025
WDC,0.0018922263,0.025
PODD,0.0016646639,0.025
TER,0.00166168,0.025
APP,0.0016354319,0.025
STX,0.0016262006,0.025
ANET,0.0015892307,0.025
CCL,0.0015626915,0.025
CSGP,0.0015591459,0.025
BAX,0.0015561457,0.025
IT,0.0015376386,0.025
LUV,0.0015188297,0.025
SATS,0.0014967193,0.025
RTX,0.001474662,0.025
UAL,0.001471432,0.025
CF,0.001458294,0.025
VTRS,0.0014466757,0.025
