ticker,predicted_return,weight
SMCI,0.016059356,0.025
TTD,0.01384027,0.025
INTC,0.009093324,0.025
AXON,0.007315096,0.025
ALB,0.0068687773,0.025
COIN,0.0068288553,0.025
CHTR,0.006722925,0.025
HOOD,0.005917881,0.025
NCLH,0.0054212287,0.025
AKAM,0.0052579357,0.025
DDOG,0.004788036,0.025
WDC,0.0046853228,0.025
GLW,0.004284014,0.025
AMD,0.00414332,0.025
APP,0.004105105,0.025
CNC,0.0040116156,0.025
DELL,0.0039277463,0.025
TER,0.0038162894,0.025
ORCL,0.0037402879,0.025
EL,0.0036942048,0.025
EPAM,0.003669837,0.025
NOW,0.0034361922,0.025
PSKY,0.0030249616,0.025
GNRC,0.0027417454,0.025
STX,0.0027030206,0.025
MU,0.0025384305,0.025
CVNA,0.0021445064,0.025
TPL,0.002100369,0.025
UAL,0.0019741578,0.025
MRNA,0.0019409041,0.025
VTRS,0.0018819447,0.025
CCL,0.0018444317,0.025
LRCX,0.0018012691,0.025
AMAT,0.0017281716,0.025
GM,0.0017268282,0.025
FCX,0.0016945286,0.025
ANET,0.0016865822,0.025
KHC,0.0016801594,0.025
IBKR,0.0016790554,0.025
HPE,0.0016363999,0.025
