ticker,predicted_return,weight
TTD,0.009549218,0.02
MRNA,0.005434835,0.02
SMCI,0.0052155526,0.02
WDC,0.0050678067,0.02
INTC,0.0047381925,0.02
COIN,0.0046853065,0.02
HOOD,0.0046853065,0.02
NCLH,0.004311186,0.02
GLW,0.0039259107,0.02
STX,0.0039259107,0.02
AXON,0.0035372882,0.02
MU,0.0035286138,0.02
DDOG,0.003440378,0.02
CVNA,0.003403107,0.02
APP,0.0032131576,0.02
IT,0.0030634063,0.02
TER,0.0029299047,0.02
ALB,0.0027489273,0.02
LRCX,0.0025857473,0.02
AMD,0.0025455814,0.02
KLAC,0.002420184,0.02
EL,0.0022630827,0.02
DELL,0.0022612058,0.02
EPAM,0.002258524,0.02
EXPE,0.002095997,0.02
CCL,0.0020747283,0.02
UAL,0.0020747283,0.02
HUM,0.0019058579,0.02
XYZ,0.001902007,0.02
WDAY,0.0018674309,0.02
AMAT,0.0018507253,0.02
FIX,0.0018507253,0.02
VST,0.0018095544,0.02
CSGP,0.0017858609,0.02
GDDY,0.0017655366,0.02
ORCL,0.0017655366,0.02
UNH,0.0017655366,0.02
IBKR,0.0017298454,0.02
PSKY,0.0016625591,0.02
FDS,0.0015231703,0.02
CNC,0.0014757629,0.02
ANET,0.001470357,0.02
MPWR,0.0014484624,0.02
BAX,0.0014006189,0.02
CHTR,0.0014006189,0.02
NOW,0.0014006189,0.02
APH,0.0013961614,0.02
DAL,0.0013742668,0.02
JBL,0.0013742668,0.02
FCX,0.0013155591,0.02
