date,ic_mean,ic_std,n_days
2021-01,0.19459578429563304,0.06910145993405065,19
2021-02,0.050431578007067705,0.09700864810834074,19
2021-03,0.02908687519563371,0.1351814881572317,23
2021-04,-0.06436784261278475,0.043879481436269525,21
2021-05,0.0956332202833374,0.09801727431343295,20
2021-06,-0.07345988915351892,0.14096775381408996,22
2021-07,-0.07619278654010138,0.0830078536899199,21
2021-08,0.07268585926461237,0.1122752463516023,22
2021-09,0.03315809862907332,0.07690159261745128,21
2021-10,0.1186314484689672,0.09589135925537601,21
2021-11,-0.1185317247290817,0.05376441120178842,21
2021-12,-0.09345300278332132,0.066897582878972,22
2022-01,-0.14188321668607756,0.09914426183182748,20
2022-02,-0.09547899955298265,0.06437936207410734,19
2022-03,-0.15588468678111642,0.10985909221966389,23
2022-04,-0.08021411044482285,0.08585110722199855,20
2022-05,-0.015105003632250152,0.1302045425543178,21
2022-06,0.09317434520011772,0.1656344508089976,21
2022-07,0.11225038871461916,0.16843363244476395,20
2022-08,-0.15256711696842834,0.09569145012685215,23
2022-09,0.09864110510499399,0.07189451583155763,21
2022-10,0.06425475507224049,0.05154729503021205,21
2022-11,-0.010506255258717784,0.11210223385754521,21
2022-12,0.15429659807339274,0.14455818950854538,21
2023-01,0.11710450669910319,0.08658235220843677,20
2023-02,0.08760183416053195,0.08112161837157929,19
2023-03,-0.0453573009456909,0.15553779323140765,23
2023-04,0.13080690816365803,0.11586131061583872,19
2023-05,0.20289225939565989,0.06501351269101903,22
2023-06,0.09316661602875762,0.06436358688198382,21
2023-07,0.004467844312950969,0.0475611016667,20
2023-08,-0.10591370104075877,0.10732093328404034,23
2023-09,-0.04323779550307172,0.1076702570137042,20
2023-10,0.03227809370043817,0.16331623590698124,22
2023-11,0.10219683195418221,0.05004686896119318,21
2023-12,0.09120417110089123,0.05789745149805228,20
2024-01,0.11002331595008946,0.07653212820966197,21
2024-02,0.036989023371041194,0.047389768637471776,20
2024-03,-0.19117693138057346,0.11986905073602527,20
2024-04,-0.05700233427940359,0.12369177856171816,22
2024-05,0.033330969955370555,0.08341741659844325,22
2024-06,-0.051476628581341666,0.10185205259347263,19
2024-07,-0.20187295159226834,0.10310693025601882,22
2024-08,-0.04034104776170799,0.09381360474403329,22
2024-09,0.16484735110339602,0.194497912144097,20
2024-10,-0.04413341471289284,0.07010560834334482,23
2024-11,0.1344959987294913,0.08914804768338272,20
2024-12,0.08317950705976626,0.07700242058120593,21
2025-01,-0.055193375875919146,0.13384797242607227,20
2025-02,-0.28044607377673697,0.08483773594396603,19
2025-03,-0.28497578745058183,0.13745151023251986,21
2025-04,0.31294633320813936,0.16276016709106983,21
2025-05,0.2417422286638377,0.11927068868601541,21
2025-06,0.2742305775575272,0.1073620356827618,20
2025-07,-0.02207977208602575,0.08571468114487844,22
2025-08,0.09124436180160946,0.10343910997180379,21
2025-09,0.0007643804707373311,0.11170645510178173,21
2025-10,-0.02981659175371084,0.07445256690866535,23
2025-11,0.19772204279974598,0.10153821202995258,19
2025-12,0.06215154445900268,0.03736430282178901,22
2026-01,-0.2070082526667075,0.09737686737764464,20
2026-02,-0.155830156201829,0.08519541707133757,19
2026-03,0.16696595177262402,0.17407932721050876,22
2026-04,0.04687845265882785,0.13113647051130123,21
2026-05,0.15576080247159393,0.10204947247054612,20
2026-06,-0.07648389311806178,0.07012347232975201,20
2026-07,0.07737062321810069,0.07694182498274935,22
