feature,importance
dist_sma200,0.07039192
dist_52w_high_rank,0.06727537
dist_52w_high,0.06115818
dist_sma200_rank,0.040302992
debt_to_equity_rank,0.04004493
spy_ret_21d,0.03833721
roa,0.037482653
spy_rsi_14,0.036629215
macd_hist_rank,0.034594607
debt_to_equity,0.03323148
days_since_earnings,0.033123344
zscore_60d_rank,0.03270863
beta_60d,0.032533035
vol_60d,0.031010743
gics_sector,0.03083029
zscore_20d,0.030081354
earnings_yield_rank,0.03000748
atr_pct,0.029876737
macd_hist,0.028751375
ret_63d,0.027700763
vol_60d_rank,0.026582886
sales_growth_yoy,0.02656994
vix_level,0.026038798
book_to_market_rank,0.023253787
excess_ret_21d_vs_sector,0.022500848
ret_63d_rank,0.02102183
vol_20d,0.020637304
roa_rank,0.01789614
vol_20d_rank,0.016077368
excess_ret_5d,0.013721894
zscore_20d_rank,0.013674348
ret_21d,0.005952612
days_to_earnings,0.0
zscore_60d,0.0
excess_ret_5d_vs_sector,0.0
spy_trend_regime,0.0
vix_zscore_20d,0.0
rsi_14,0.0
mfi_14,0.0
ret_1d,0.0
ret_5d,0.0
vol_ratio,0.0
trend_regime,0.0
excess_ret_21d,0.0
dist_sma50,0.0
atr_pct_rank,0.0
mfi_14_rank,0.0
rsi_14_rank,0.0
ret_21d_rank,0.0
ret_1d_rank,0.0
ret_5d_rank,0.0
current_ratio,0.0
op_income_growth_yoy,0.0
post_earnings_drift_window,0.0
book_to_market,0.0
earnings_yield,0.0
dist_sma50_rank,0.0
vol_ratio_rank,0.0
current_ratio_rank,0.0
sales_growth_yoy_rank,0.0
op_income_growth_yoy_rank,0.0
