feature,importance
dist_52w_high,0.14335918
beta_60d,0.09076314
ret_63d,0.0872318
debt_to_equity,0.06942457
dist_sma200_rank,0.06255834
macd_hist,0.05981274
spy_ret_21d,0.058617774
dist_52w_high_rank,0.054618254
earnings_yield_rank,0.05401809
roa,0.05219675
days_to_earnings,0.05164938
macd_hist_rank,0.043755926
gics_sector,0.039541505
vol_60d_rank,0.035281077
vol_60d,0.034346912
vol_20d,0.031563327
vix_level,0.03126136
dist_sma200,0.0
ret_21d,0.0
atr_pct,0.0
spy_rsi_14,0.0
excess_ret_21d,0.0
excess_ret_5d,0.0
zscore_20d,0.0
current_ratio,0.0
book_to_market,0.0
days_since_earnings,0.0
earnings_yield,0.0
excess_ret_21d_vs_sector,0.0
zscore_60d,0.0
atr_pct_rank,0.0
ret_63d_rank,0.0
vol_20d_rank,0.0
sales_growth_yoy,0.0
zscore_60d_rank,0.0
zscore_20d_rank,0.0
book_to_market_rank,0.0
roa_rank,0.0
debt_to_equity_rank,0.0
current_ratio_rank,0.0
