feature,importance
dist_sma200,0.13814208
ret_63d,0.117186554
zscore_60d_rank,0.09329104
vol_60d,0.091277994
vix_level,0.08343543
beta_60d,0.062391028
macd_hist_rank,0.058398485
roa,0.055282876
gics_sector,0.05467914
days_since_earnings,0.052525405
sales_growth_yoy,0.049723584
spy_rsi_14,0.04573699
vol_60d_rank,0.033070937
dist_52w_high_rank,0.031346608
spy_ret_21d,0.022359041
ret_21d,0.011152869
dist_52w_high,0.0
vol_20d,0.0
macd_hist,0.0
atr_pct,0.0
excess_ret_21d,0.0
zscore_20d,0.0
excess_ret_5d,0.0
zscore_60d,0.0
current_ratio,0.0
debt_to_equity,0.0
book_to_market,0.0
earnings_yield,0.0
excess_ret_21d_vs_sector,0.0
days_to_earnings,0.0
atr_pct_rank,0.0
ret_63d_rank,0.0
dist_sma200_rank,0.0
vol_20d_rank,0.0
earnings_yield_rank,0.0
zscore_20d_rank,0.0
book_to_market_rank,0.0
roa_rank,0.0
debt_to_equity_rank,0.0
current_ratio_rank,0.0
