pick_date,n_picks,n_marked,exposure,status,basket_ret,spy_ret,active_ret
2026-03-26,50,50,1.0,matured,0.16366449412265519,0.10863593163313445,0.05502856248952073
2026-03-31,50,50,1.0,matured,0.17758084272969954,0.10505265471572445,0.07252818801397509
2026-04-30,40,40,1.0,matured,0.21426638224585617,0.054525086999263284,0.1597412952465929
2026-05-08,40,40,1.0,matured,0.0002432404389361507,-0.0007727655540684664,0.001016005993004617
2026-05-29,40,40,1.0,matured,-0.01639406224892264,-0.014170858423090626,-0.002223203825832014
2026-06-01,40,40,1.0,matured,-0.03780019492267408,-0.017239596370387522,-0.020560598552286556
2026-06-12,40,40,1.0,matured,-0.07009311052974307,0.012092983758847264,-0.08218609428859033
2026-06-18,40,40,1.0,matured,-0.05362676941303273,0.0020623497906100408,-0.05568911920364277
2026-06-26,40,40,1.0,matured,-0.031501569237435564,0.016282795753301382,-0.04778436499073695
2026-06-30,40,40,1.0,matured,-0.057960161308014055,-0.0068026527002683634,-0.05115750860774569
2026-07-02,40,40,1.0,matured,-0.003721221779070265,0.01730706128821735,-0.021028283067287615
2026-07-07,40,40,1.0,matured,0.02952883787334017,0.02953010579747839,-1.2679241382200501e-06
2026-07-15,40,40,1.0,matured,0.0684203347725774,0.030563992791348582,0.03785634198122882
2026-07-22,40,40,1.0,matured,0.025342067300245037,0.020323521209515416,0.0050185460907296205
2026-08-28,40,40,1.0,open (1d),-0.0057149487013696204,-0.002989520850009919,-0.0027254278513597014
2026-08-31,40,40,1.0,open (0d),0.0,0.0,0.0
