feature,importance
dist_sma200,0.06624622
ret_63d,0.047666803
dist_52w_high,0.04468111
dist_sma200_rank,0.040826388
roa,0.039126188
debt_to_equity_rank,0.033123836
excess_ret_21d,0.032395855
days_since_earnings,0.032094818
book_to_market,0.031193916
zscore_60d_rank,0.03033515
roa_rank,0.030215733
debt_to_equity,0.030131139
beta_60d,0.0292056
days_to_earnings,0.028890891
macd_hist,0.028304316
spy_ret_21d,0.027327439
earnings_yield_rank,0.026297815
macd_hist_rank,0.026049051
vol_60d,0.025458507
sales_growth_yoy,0.025402814
atr_pct_rank,0.025263067
gics_sector,0.02496673
vol_60d_rank,0.024183223
vix_level,0.023113083
vol_20d,0.023058735
ret_21d,0.022581482
spy_rsi_14,0.022391146
earnings_yield,0.019714778
op_income_growth_yoy_rank,0.018118404
ret_63d_rank,0.016272059
excess_ret_21d_vs_sector,0.015986608
dist_52w_high_rank,0.015944172
atr_pct,0.015298115
current_ratio_rank,0.013034307
book_to_market_rank,0.012960182
vol_20d_rank,0.012051678
excess_ret_5d,0.010621447
zscore_20d,0.009467208
rsi_14,0.0
ret_1d,0.0
ret_5d,0.0
zscore_60d,0.0
mfi_14,0.0
vol_ratio,0.0
dist_sma50,0.0
excess_ret_5d_vs_sector,0.0
vix_zscore_20d,0.0
spy_trend_regime,0.0
trend_regime,0.0
ret_1d_rank,0.0
post_earnings_drift_window,0.0
current_ratio,0.0
op_income_growth_yoy,0.0
rsi_14_rank,0.0
mfi_14_rank,0.0
ret_5d_rank,0.0
ret_21d_rank,0.0
zscore_20d_rank,0.0
dist_sma50_rank,0.0
vol_ratio_rank,0.0
sales_growth_yoy_rank,0.0
