feature,importance
dist_sma200,0.097011864
dist_52w_high,0.08643848
ret_63d,0.07130009
dist_sma200_rank,0.059223827
macd_hist,0.05909948
debt_to_equity_rank,0.051974367
beta_60d,0.048803654
spy_rsi_14,0.046451025
spy_ret_21d,0.0422633
roa_rank,0.04211568
days_since_earnings,0.04057381
debt_to_equity,0.036952164
roa,0.03587248
macd_hist_rank,0.0330001
gics_sector,0.030858694
days_to_earnings,0.030685151
vol_60d_rank,0.03046544
vix_level,0.029931381
zscore_60d_rank,0.027778687
earnings_yield_rank,0.027432486
vol_60d,0.02720475
vol_20d,0.020951275
dist_52w_high_rank,0.0140419435
current_ratio_rank,0.009569854
atr_pct,0.0
dist_sma50,0.0
vol_ratio,0.0
mfi_14,0.0
rsi_14,0.0
excess_ret_5d_vs_sector,0.0
excess_ret_21d_vs_sector,0.0
spy_trend_regime,0.0
vix_zscore_20d,0.0
zscore_60d,0.0
zscore_20d,0.0
excess_ret_5d,0.0
excess_ret_21d,0.0
trend_regime,0.0
ret_21d,0.0
ret_5d,0.0
ret_1d,0.0
book_to_market,0.0
current_ratio,0.0
sales_growth_yoy,0.0
earnings_yield,0.0
atr_pct_rank,0.0
mfi_14_rank,0.0
rsi_14_rank,0.0
ret_63d_rank,0.0
ret_5d_rank,0.0
ret_21d_rank,0.0
ret_1d_rank,0.0
op_income_growth_yoy,0.0
post_earnings_drift_window,0.0
vol_20d_rank,0.0
vol_ratio_rank,0.0
dist_sma50_rank,0.0
zscore_20d_rank,0.0
book_to_market_rank,0.0
sales_growth_yoy_rank,0.0
op_income_growth_yoy_rank,0.0
